mission_id,data,local,inicio,fim,timestamp,lat,lon,ph,oxigenio_dissolvido,temperatura,turbidez,salinidade,mono_p,multi_p,camera_r,camera_v
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:00:00,-22.930000,-43.118000,7.13,5.61,24.6,8.5,28.3,30,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:02:07,-22.929979,-43.117655,6.93,6.01,23.2,8.6,28.1,34,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:04:14,-22.929959,-43.117310,7.34,6.73,24.4,10.8,29.4,26,2.2,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:06:21,-22.929939,-43.116966,6.98,5.83,25.0,9.3,28.5,32,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:08:28,-22.929920,-43.116621,6.94,5.48,23.5,12.8,28.1,29,2.8,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:10:35,-22.929901,-43.116276,7.46,6.38,23.6,12.0,28.3,35,2.2,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:12:42,-22.929884,-43.115931,6.98,5.99,24.9,9.1,28.2,26,4.1,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:14:49,-22.929868,-43.115586,7.51,5.84,24.7,12.2,28.4,31,4.8,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:16:56,-22.929853,-43.115241,7.36,5.48,24.8,12.5,29.5,34,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:18:03,-22.929840,-43.114897,7.37,5.43,24.2,9.2,27.3,27,1.5,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:20:10,-22.929828,-43.114552,7.17,6.62,23.2,11.1,28.4,35,4.5,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:22:17,-22.929818,-43.114207,7.19,5.90,25.2,14.7,27.4,28,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:24:24,-22.929811,-43.113862,7.24,6.22,23.7,8.0,28.0,30,4.8,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:26:31,-22.929805,-43.113517,7.26,6.26,24.7,8.4,29.2,34,4.2,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:28:38,-22.929801,-43.113172,7.18,5.54,24.6,8.4,27.2,28,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:30:45,-22.929800,-43.112828,6.94,5.40,23.4,8.7,27.9,26,3.5,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:32:52,-22.929801,-43.112483,7.08,5.89,23.9,8.9,29.1,36,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:34:59,-22.929804,-43.112138,6.96,5.54,23.9,9.9,29.1,28,,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:36:06,-22.929808,-43.111793,7.27,5.61,24.4,8.2,28.3,36,3.8,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:38:13,-22.929815,-43.111448,7.16,5.63,24.9,11.7,28.9,29,,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:40:20,-22.929824,-43.111103,7.59,6.59,25.0,13.7,28.8,28,2.4,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:42:27,-22.929835,-43.110759,6.92,5.79,23.6,12.8,29.4,30,5.0,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:44:34,-22.929848,-43.110414,7.16,5.71,23.6,9.4,27.5,32,4.4,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:46:41,-22.929862,-43.110069,7.36,6.52,23.2,12.6,29.3,34,2.9,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 07:48:48,-22.929878,-43.109724,7.45,5.87,25.0,14.8,28.0,30,3.9,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:50:55,-22.929895,-43.109379,6.99,5.61,25.3,13.6,27.4,34,3.6,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:52:02,-22.929913,-43.109034,7.28,5.58,23.0,14.8,28.6,31,2.7,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:54:09,-22.929932,-43.108690,7.48,5.70,23.6,10.1,27.6,32,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:56:16,-22.929951,-43.108345,6.99,6.67,23.9,11.2,28.5,35,,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:58:23,-22.929972,-43.108000,7.25,6.14,24.3,8.1,28.1,28,,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:00:30,-22.931600,-43.108000,7.02,6.06,24.8,11.9,27.8,31,4.1,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:02:37,-22.931579,-43.108345,7.29,5.75,23.7,13.4,28.3,32,4.6,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:04:44,-22.931559,-43.108690,7.33,6.11,24.3,12.8,28.1,31,,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:06:51,-22.931539,-43.109034,7.39,6.63,25.4,9.8,28.4,35,1.5,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:08:58,-22.931520,-43.109379,7.21,5.50,23.6,8.5,28.7,34,1.6,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:10:05,-22.931501,-43.109724,7.36,5.60,25.2,14.8,27.5,36,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:12:12,-22.931484,-43.110069,7.59,6.57,23.4,11.0,28.3,29,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:14:19,-22.931468,-43.110414,7.41,5.43,24.4,11.1,27.0,29,3.0,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:16:26,-22.931453,-43.110759,7.59,6.50,25.4,8.7,27.7,26,2.1,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:18:33,-22.931440,-43.111103,7.20,6.68,25.0,9.8,27.4,35,3.8,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:20:40,-22.931428,-43.111448,6.94,6.36,24.1,8.5,29.3,32,1.3,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:22:47,-22.931418,-43.111793,6.95,6.61,24.1,10.4,28.4,35,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:24:54,-22.931411,-43.112138,7.27,5.73,23.3,9.1,27.1,28,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:26:01,-22.931405,-43.112483,7.43,5.81,24.3,9.2,27.9,26,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:28:08,-22.931401,-43.112828,7.41,6.17,23.5,11.3,29.3,27,2.7,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:30:15,-22.931400,-43.113172,7.48,5.95,24.3,12.8,29.5,29,3.8,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:32:22,-22.931401,-43.113517,7.18,5.89,23.1,8.9,27.2,33,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:34:29,-22.931404,-43.113862,6.96,6.58,25.2,12.7,27.7,28,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:36:36,-22.931408,-43.114207,7.01,6.02,23.7,14.7,29.4,31,,OK,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 08:38:43,-22.931415,-43.114552,7.12,5.90,23.0,10.7,28.2,31,,,OK
OP-20260525,2026-05-25,Praias Bahia da Guanabara, Niterói/RJ,7:00,12:00,2026-05-25 09:40:50,-22.931424,-43.114897,6.90,5.77,23.2,10.8,27.1,26,,,OK
