mission_id,data,local,inicio,fim,timestamp,lat,lon,ph,oxigenio_dissolvido,temperatura,turbidez,salinidade,mono_p,multi_p,camera_r,camera_v
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:30:00,-22.927200,-43.104167,7.76,5.82,24.7,11.3,29.9,24,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:32:30,-22.927467,-43.104103,8.06,4.63,23.0,5.1,29.5,20,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:35:00,-22.927733,-43.104040,8.06,5.19,23.0,11.2,29.3,37,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:37:30,-22.928000,-43.103976,7.57,5.56,22.0,3.2,29.9,22,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:40:00,-22.928267,-43.103913,7.95,5.30,24.3,8.1,28.3,16,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:42:30,-22.928533,-43.103849,7.13,6.27,23.4,4.3,28.1,16,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:45:00,-22.928800,-43.103786,7.84,5.93,22.3,8.3,28.7,32,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:47:30,-22.929067,-43.103722,7.13,4.97,22.4,3.3,29.7,40,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:50:00,-22.929333,-43.103659,7.57,4.84,25.2,8.8,28.6,25,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:52:30,-22.929600,-43.103595,7.03,5.06,23.1,9.4,28.7,25,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:55:00,-22.929867,-43.103532,8.02,5.71,22.1,6.7,28.9,39,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 06:57:30,-22.930133,-43.103468,7.56,4.69,24.3,9.4,29.7,33,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:00:00,-22.930400,-43.103405,7.52,5.54,23.2,9.8,28.1,26,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:02:30,-22.930667,-43.103341,7.59,6.03,22.7,7.5,28.7,31,2,,OK
